epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7317,0.56653,0.69836,1.03865,0.9874,0.99876,0.99426,0.93919,0.36546,0.14432,0.8939,0.0671126,0.000332196,0.000332196
2,137.585,0.5034,0.54373,1.00764,0.98738,0.99876,0.99431,0.94003,0.36541,0.14152,0.89232,0.0340907,0.000643567,0.000643567
3,205.095,0.48609,0.49264,0.99665,0.98886,0.99876,0.99419,0.94048,0.36592,0.13838,0.89321,0.0010467,0.000932937,0.000932937
4,272.296,0.47957,0.44509,0.98924,0.98352,0.99876,0.99418,0.94114,0.36361,0.13728,0.8917,0.000901,0.000901,0.000901
5,339.206,0.46868,0.42283,0.98274,0.98861,0.99876,0.99434,0.94125,0.36696,0.14136,0.89312,0.000868,0.000868,0.000868
6,405.991,0.46947,0.4115,0.98091,0.98485,0.99876,0.99434,0.93956,0.3647,0.13883,0.89163,0.000835,0.000835,0.000835
7,473.036,0.47238,0.40603,0.98889,0.98987,0.99876,0.99434,0.94023,0.36643,0.13836,0.89212,0.000802,0.000802,0.000802
8,540.202,0.46302,0.39727,0.9853,0.99239,0.99865,0.99441,0.94018,0.36745,0.13818,0.89393,0.000769,0.000769,0.000769
9,607.535,0.45806,0.39029,0.97905,0.99219,0.99808,0.99441,0.93876,0.36817,0.13847,0.89446,0.000736,0.000736,0.000736
10,674.38,0.46281,0.39327,0.98196,0.99338,0.99804,0.99441,0.93704,0.36944,0.13931,0.89482,0.000703,0.000703,0.000703
11,741.251,0.45397,0.37943,0.98456,0.9932,0.99802,0.99431,0.9376,0.3677,0.13927,0.89494,0.00067,0.00067,0.00067
12,808.093,0.45589,0.37286,0.97611,0.9926,0.99738,0.99429,0.93848,0.36761,0.13982,0.89505,0.000637,0.000637,0.000637
13,875.324,0.44855,0.37836,0.97135,0.99185,0.99747,0.99426,0.93894,0.36836,0.14003,0.89477,0.000604,0.000604,0.000604
14,942.729,0.44637,0.37059,0.96974,0.9925,0.99753,0.99424,0.93875,0.3695,0.14027,0.89625,0.000571,0.000571,0.000571
15,1009.83,0.44089,0.36908,0.96821,0.99205,0.99785,0.99421,0.93863,0.37159,0.14054,0.89679,0.000538,0.000538,0.000538
16,1076.78,0.44182,0.36529,0.96642,0.99254,0.99802,0.99422,0.94118,0.3691,0.13927,0.89477,0.000505,0.000505,0.000505
17,1143.61,0.44572,0.37331,0.97038,0.99259,0.99773,0.99426,0.94045,0.36849,0.14066,0.89537,0.000472,0.000472,0.000472
18,1210.69,0.4447,0.35923,0.97124,0.99217,0.99833,0.99434,0.93929,0.3711,0.14024,0.89676,0.000439,0.000439,0.000439
19,1278.01,0.4349,0.34726,0.96362,0.99327,0.99853,0.99437,0.93829,0.36987,0.13971,0.89553,0.000406,0.000406,0.000406
20,1345.55,0.43859,0.35548,0.96784,0.99318,0.99832,0.99434,0.93914,0.36875,0.1398,0.8946,0.000373,0.000373,0.000373
21,1412.74,0.43862,0.36401,0.97182,0.9932,0.99854,0.99434,0.94057,0.37004,0.14052,0.89647,0.00034,0.00034,0.00034
22,1479.8,0.43593,0.36087,0.96427,0.99232,0.99876,0.99431,0.93981,0.37014,0.13949,0.89623,0.000307,0.000307,0.000307
23,1546.78,0.44292,0.35893,0.96625,0.99149,0.99863,0.99424,0.93925,0.36898,0.13842,0.89555,0.000274,0.000274,0.000274
24,1614.01,0.44962,0.36859,0.97464,0.99348,0.99854,0.99431,0.93864,0.36931,0.13778,0.896,0.000241,0.000241,0.000241
25,1681.56,0.43391,0.35293,0.96405,0.99305,0.99839,0.99437,0.94015,0.37035,0.13826,0.89647,0.000208,0.000208,0.000208
26,1748.41,0.43235,0.35004,0.95853,0.9931,0.99828,0.99437,0.94104,0.36996,0.13765,0.8959,0.000175,0.000175,0.000175
27,1815.49,0.43542,0.346,0.96587,0.99297,0.99809,0.99437,0.93955,0.37009,0.13834,0.89597,0.000142,0.000142,0.000142
28,1882.44,0.43083,0.34933,0.96507,0.99331,0.99835,0.99434,0.93912,0.36994,0.13807,0.89581,0.000109,0.000109,0.000109
29,1949.72,0.4284,0.34855,0.96043,0.99242,0.99856,0.99437,0.93938,0.37022,0.1379,0.89618,7.6e-05,7.6e-05,7.6e-05
30,2017.21,0.43375,0.35271,0.9605,0.99286,0.9985,0.99437,0.93922,0.36983,0.13753,0.89571,4.3e-05,4.3e-05,4.3e-05
